Date,Lat,Lon,C,UniqueID
09/01/2018,-27.5684,30.0228,1.16,S5556
09/01/2018,-27.6131,30.045,0.94,S5556
09/01/2018,-27.5431,30.071,4.54,S5556
09/01/2018,-27.6154,30.0861,1.56,S5556
09/01/2018,-27.5677,30.0907,1.67,S5556
09/01/2018,-29.8085,23.9044,0.41,S5556
09/01/2018,-29.7781,23.933,0.45,S5556
09/01/2018,-29.8198,23.9758,0.54,S5556
09/01/2018,-29.816,23.9757,0.37,S5556
09/01/2018,-29.8188,23.9729,0.35,S5556
09/01/2018,-29.9813,22.7623,0.28,S5556
09/01/2018,-29.9327,22.7786,0.59,S5556
